IL_SMILES,Experiment_value,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,Dose_ug_nucleicacid,Sample_weight
CCCCCCCCCCCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OCCCCCCCCCCCC)NCCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.616358314856864,3,36,12.0829,0.9347826086956522,80.22999999999999,1,7,53,745.654439,225.0807,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCCC(CCCCCCCC)OC(=O)CCCC1(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.774669501342221,3,42,13.8731,0.9245283018867924,97.74,0,9,62,873.72847,258.841,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCCC(CCCCCCCC)OC(=O)CCCC1(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.79056619190337,3,43,14.2632,0.925925925925926,97.74,0,9,63,887.744857,263.458,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCCC(CCCCCCCC)OC(=O)CCCC1(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.821620971799765,3,42,15.0418,0.9285714285714286,97.74,0,9,65,915.777633,272.67,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCCC(CCCCCCCC)OC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.758618176811218,3,43,15.4465,0.9444444444444444,80.22999999999999,1,7,61,859.800015,264.0867,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCCC(CCCCCCCC)OC(=O)CCCC(C=NCCCC)(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)NCCN1CCCC1,-2.0177810199521136,35.0,16.0,46.5,2.5,10.0,6.758618176811218,3,46,15.4481,0.9444444444444444,80.22999999999999,1,7,61,859.800015,264.1087,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCCC(CCCCCCCC)OC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)NCCN1CCCC1,-2.0177810199521136,35.0,16.0,46.5,2.5,10.0,6.788396126906561,3,44,15.9807,0.9464285714285714,80.22999999999999,1,7,63,885.818316,271.2067,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.549905359315415,3,34,12.7815,0.8666666666666667,45.14,0,5,50,697.649785,218.311,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.569768896620608,3,35,13.1716,0.8695652173913043,45.14,0,5,51,711.666173,222.928,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.60835009189084,3,34,13.9502,0.875,45.14,0,5,53,739.698948,232.14,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCC(C=NC(C)(C)C)(CCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-0.0022533906995668,35.0,16.0,46.5,2.5,10.0,6.5297676825184805,3,35,14.3549,0.8913043478260869,27.630000000000003,1,3,49,683.721331,223.5567,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCC(C=NCCCC)(CCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.5297676825184805,3,38,14.3565,0.8913043478260869,27.630000000000003,1,3,49,683.721331,223.5787,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
