Lipid_name,Num_carbon_in_tail,Num_tails,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A10_I5_T3,10,2,742.1469999999996,2,5
A10_I6_T3,10,2,768.1849999999995,2,5
A10_I1_T4,18,2,972.5389999999992,1,5
A10_I2_T4,18,2,986.5659999999992,1,5
A10_I3_T4,18,2,1014.6199999999992,1,5
A10_I4_T4,18,2,958.599999999999,1,5
A10_I5_T4,18,2,958.5999999999988,1,5
A10_I6_T4,18,2,984.6379999999988,1,5
A10_I1_T5,18,2,870.3179999999995,2,5
A10_I2_T5,18,2,884.3449999999995,2,5
A10_I3_T5,18,2,912.3989999999994,2,5
A10_I4_T5,18,2,856.3789999999995,2,5
A10_I5_T5,18,2,856.3789999999993,2,5
A10_I6_T5,18,2,882.4169999999992,2,5
A10_I1_T6,12,2,820.2579999999998,0,5
A10_I2_T6,12,2,834.2849999999997,0,5
A10_I3_T6,12,2,862.3389999999997,0,5
A10_I4_T6,12,2,806.3189999999996,0,5
A10_I5_T6,12,2,806.3189999999995,0,5
A10_I6_T6,12,2,832.3569999999994,0,5
A10_I1_T7,9,2,960.5279999999992,0,5
A10_I2_T7,9,2,974.5549999999992,0,5
A10_I3_T7,9,2,1002.6089999999992,0,5
A10_I4_T7,9,2,946.588999999999,0,5
A10_I5_T7,9,2,946.5889999999988,0,5
A10_I6_T7,9,2,972.6269999999988,0,5
A10_I1_T8,18,2,784.3159999999998,2,5
A10_I2_T8,18,2,798.3429999999997,2,5
A10_I3_T8,18,2,826.3969999999997,2,5
A10_I4_T8,18,2,770.3769999999997,2,5
A10_I5_T8,18,2,770.3769999999996,2,5
A10_I6_T8,18,2,796.4149999999995,2,5
