Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A66-T9,2,8,1098.597999999999,4,1
A43-T5,2,6,1053.5609999999992,4,2
A56-T2,2,18,1327.1059999999998,4,1
A70-T9,2,8,1125.6679999999992,4,2
A27-T5,2,6,1081.614999999999,4,2
A56-T10,2,10,1098.641999999999,4,1
A50-T4,2,5,563.8200000000002,2,1
A22-T4,2,5,1019.4589999999992,4,1
A72-T10,2,10,651.9730000000004,2,1
A65-T8,2,9,1114.6409999999987,4,1
A54-T4,2,5,622.8880000000003,2,2
A17-T9,2,8,1111.6409999999992,4,2
A43-T8,2,9,1137.722999999999,4,2
A60-T3,2,18,1353.1,6,1
A58-T10,2,10,1140.722999999999,4,1
A4-T9,2,8,1097.6579999999988,4,2
A42-T9,2,8,619.9280000000002,2,1
A46-T5,2,6,1067.5879999999988,4,2
A60-T6,2,7,1044.5059999999994,4,1
A59-T10,2,10,2149.2430000000004,8,2
A65-T4,2,5,1002.4249999999992,4,1
A43-T4,2,5,1025.506999999999,4,2
A35-T4,2,5,619.9320000000002,2,3
A64-T6,2,7,1086.5869999999989,4,1
A50-T2,2,18,748.1869999999997,2,1
A46-T6,2,7,1095.641999999999,4,2
A5-T10,2,10,1139.738999999999,4,2
A72-T5,2,6,595.8650000000005,2,1
A50-T3,2,18,746.1709999999998,3,1
A40-T8,2,9,1152.7379999999991,4,3
A9-T5,2,6,1082.602999999999,4,3
A72-T7,2,8,623.9190000000004,2,1
A29-T10,2,10,620.9600000000003,2,2
A60-T8,2,9,1100.6139999999991,4,1
A53-T2,2,18,734.1599999999996,2,1
A23-T10,2,10,682.003,2,2
A9-T6,2,7,1110.656999999999,4,3
A20-T9,2,8,574.8470000000002,2,1
A29-T9,2,8,592.9060000000003,2,2
A13-T5,2,6,645.9700000000001,2,3
A60-T4,2,5,988.3979999999992,4,1
A64-T3,2,18,1395.1809999999991,6,1
A58-T2,2,18,1369.187,4,1
A27-T8,2,9,1165.7769999999994,4,2
A67-T10,2,10,1140.678999999999,4,1
A50-T1,2,18,750.2029999999995,1,1
A46-T4,2,5,1039.533999999999,4,2
A27-T4,2,5,1053.560999999999,4,2
A72-T8,2,9,637.9460000000005,2,1
A1-T9,2,8,1083.6309999999987,4,2
