src_A,src_B,mean_tanimoto,max_tanimoto,n_pairs
SS_2018,XH_2024,0.278785076997012,0.3023255813953488,3
SP_2020,SX_2025,0.2786242390417852,0.3972602739726027,32
SP_2020,XH_2025,0.27845827337279816,0.46875,116
JL_2024,YY_2023,0.2781295016897236,0.4897959183673469,310
LX_2024_3,RG_2023,0.2779269096823939,0.38461538461538464,379
JM_2016,LZ_2025,0.27768156365806484,0.3088235294117647,66
SX_2025,YZ_2022,0.2775351967652709,0.3972602739726027,678
SX_2025,YZ_2024,0.2774812503986324,0.3972602739726027,646
SL_2021,YY_2023,0.2774735599226623,0.5098039215686274,344
SX_2025,YY_2023,0.2761848594188843,0.38596491228070173,76
LL_2012,YZ_2024,0.2760732624423258,0.31746031746031744,598
JC_2023,ZL_2022,0.27597713324209266,0.45454545454545453,113
LL_2012,YZ_2022,0.2758610019640121,0.31746031746031744,627
KS_2024,YX_2024,0.2757863753716935,0.5416666666666666,2078
SP_2020,ZC_2023,0.27562143402283956,1.0,36
BL_2023,ZL_2022,0.27543292839115274,0.4594594594594595,316
BL_2023,JC_2023,0.27524605001841473,0.4810126582278481,988
SY_2025,XH_2025,0.27507992241026047,0.37037037037037035,35
RG_2023,SL_2020,0.27501656591874046,0.44,126
KS_2024,SL_2020,0.27450774575883014,0.4807692307692308,73
BroadPharm_2024,ZH_2023,0.27449367262257585,0.47540983606557374,379
AP_2025,BL_2023,0.27417905859809644,0.47560975609756095,392
SS_2018,SX_2025,0.27376201443642095,0.3950617283950617,6
LX_2024_2,SS_2018,0.2734006301798643,0.46551724137931033,12
BL_2023,SL_2020,0.27311814763918246,0.4794520547945205,304
