Lipid_name,Num_tails,MolWt,Num_carbon_in_tail,num_unsaturated_cc_bonds,num_protonatable_nitrogens
1A2-SC12,1,543.859,12,0,3
2A2-SC12,2,930.457,12,0,3
2A4-SC12,2,895.367,12,0,1
2A5-SC12,2,887.388,12,0,2
2A6-SC12,2,901.415,12,0,2
4A4-SC12,4,1694.598,12,0,2
5A3-SC12,5,2121.309,12,0,4
1H2-SC12,1,628.061,12,0,1
1H3-SC12,1,684.169,12,0,1
2H1-SC12,2,902.443,12,0,1
2H2-SC12,2,930.497,12,0,1
2H3-SC12,2,958.551,12,0,1
2H4-SC12,2,986.605,12,0,1
4A2-SC14,4,1794.806,14,0,2
4A3-SC14,4,1803.858,14,0,3
6A1-SC14,6,2677.219,14,0,5
6A2-SC14,6,2676.231,14,0,4
2H3-SC14,2,1014.659,14,0,1
2H4-SC14,2,1042.713,14,0,1
2A1-SC16,2,1013.631,16,0,2
2A3-SC16,2,1013.631,16,0,2
2A9-SC16,2,973.566,16,0,2
2A11-SC16,2,1058.716,16,0,3
3A5-SC16,3,1516.437,16,0,4
4A2-SC16,4,1907.022,16,0,2
5A4-SC16,5,2359.768,16,0,4
6A2-SC16,6,2844.555,16,0,4
2H2-SC16,2,1042.713,16,0,1
2H4-SC16,2,1098.821,16,0,1
2H6-SC16,2,1154.929,16,0,1
5A4-SC18,5,2500.038,18,0,4
6A1-SC18,6,3013.867,18,0,5
6A2-SC18,6,3012.879,18,0,4
2A4-SC19,2,767.023,19,0,1
2A10-SC19,2,761.06,19,0,2
2A11-SC19,2,818.156,19,0,3
2A12-SC19,2,777.059,19,0,2
4A2-SC19,4,1425.902,19,0,2
4A3-SC19,4,1434.954,19,0,3
5A1-SC19,5,1743.353,19,0,3
5A4-SC19,5,1758.368,19,0,4
2H5-SC19,2,886.315,19,0,1
2H6-SC19,2,914.369,19,0,1
2H6-SO1,2,850.191,0,0,1
1A1-SO2,1,432.583,0,0,2
1A3-SO2,1,462.609,0,0,2
2A3-SO2,2,793.055,0,0,2
2A10-SO2,2,781.044,0,0,2
2A11-SO2,2,838.14,0,0,3
4A2-SO2,4,1465.87,0,0,2
2H6-SO2,2,934.353,0,0,1
2A7-SO3,2,935.297,0,0,2
2A9-SO3,2,893.26,0,0,2
2A11-SO3,2,978.41,0,0,3
4A2-SO3,4,1746.41,0,0,2
4A4-SO3,4,1758.418,0,0,2
5A1-SO3,5,2143.988,0,0,3
5A2-SO3,5,2202.072,0,0,5
5A3-SO3,5,2201.084,0,0,4
2H6-SO3,2,1074.623,0,0,1
2A10-SO4,2,640.862,0,0,2
6A3-SO4,6,1720.2,0,0,4
2H5-SO4,2,766.117,0,0,1
2A2-SO5,2,741.967,0,0,3
2A3-SO5,2,712.925,0,0,2
4A2-SO5,4,1305.61,0,0,2
2H5-SO5,2,826.169,0,0,1
1A1-SO6,1,376.519,0,0,2
2A2-SO6,2,709.969,0,0,3
2A3-SO6,2,680.927,0,0,2
2A4-SO6,2,674.879,0,0,1
2A5-SO6,2,666.9,0,0,2
2A6-SO6,2,680.927,0,0,2
2A7-SO6,2,682.899,0,0,2
2A8-SO6,2,677.883,0,0,1
2A9-SO6,2,640.862,0,0,2
2A10-SO6,2,668.916,0,0,2
2A11-SO6,2,726.012,0,0,3
4A1-SO6,4,1305.746,0,0,4
4A2-SO6,4,1241.614,0,0,2
4A3-SO6,4,1250.666,0,0,3
4A4-SO6,4,1253.622,0,0,2
5A1-SO6,5,1512.993,0,0,3
5A2-SO6,5,1571.077,0,0,5
5A4-SO6,5,1528.008,0,0,4
6A1-SO6,6,1847.431,0,0,5
6A2-SO6,6,1846.443,0,0,4
6A3-SO6,6,1804.362,0,0,4
2H3-SO6,2,738.063,0,0,1
2H4-SO6,2,766.117,0,0,1
2A1-SO7,2,708.981,0,0,2
2A3-SO7,2,708.981,0,0,2
2A5-SO7,2,694.954,0,0,2
2A9-SO7,2,668.916,0,0,2
2A11-SO7,2,754.066,0,0,3
3A5-SO7,3,1059.462,0,0,4
4A2-SO7,4,1297.722,0,0,2
4A4-SO7,4,1309.73,0,0,2
5A1-SO7,5,1583.128,0,0,3
5A2-SO7,5,1641.212,0,0,5
5A4-SO7,5,1598.143,0,0,4
6A1-SO7,6,1931.593,0,0,5
6A2-SO7,6,1930.605,0,0,4
2H2-SO7,2,738.063,0,0,1
2H4-SO7,2,794.171,0,0,1
2A2-SO9,2,934.401,0,0,3
2A3-SO9,2,905.359,0,0,2
2A5-SO9,2,891.332,0,0,2
3A3-SO9,3,1324.987,0,0,3
5A3-SO9,5,2131.169,0,0,4
6A2-SO9,6,2519.739,0,0,4
1A1-SN1,1,389.562,0,0,3
2A11-SN1,2,752.098,0,0,5
2A12-SN1,2,711.001,0,0,4
3A5-SN1,3,1056.51,0,0,7
4A1-SN1,4,1357.918,0,0,8
2H4-SN1,2,792.203,0,0,3
2H5-SN1,2,820.257,0,0,3
2A1-SN2,2,763.121,0,0,4
2A3-SN2,2,763.121,0,0,4
2A9-SN2,2,723.056,0,0,4
2A11-SN2,2,808.206,0,0,5
2A12-SN2,2,767.109,0,0,4
3A5-SN2,3,1140.672,0,0,7
4A2-SN2,4,1406.002,0,0,6
5A4-SN2,5,1733.493,0,0,9
6A2-SN2,6,2093.025,0,0,10
2H2-SN2,2,792.203,0,0,3
2H5-SN2,2,876.365,0,0,3
2A4-SN3,2,757.073,0,0,3
2A12-SN3,2,767.109,0,0,4
3A5-SN3,3,1140.672,0,0,7
4A1-SN3,4,1470.134,0,0,8
2H5-SN3,2,876.365,0,0,3
2A3-SN4,2,759.089,0,0,4
2A12-SN4,2,763.077,0,0,4
4A2-SN4,4,1397.938,0,0,6
5A3-SN4,5,1765.494,0,0,9
2H2-SN4,2,788.171,0,0,3
2H3-SN4,2,816.225,0,0,3
2H5-SN4,2,872.333,0,0,3
2A4-SN5,2,781.095,0,0,3
2A5-SN5,2,773.116,0,0,4
2A11-SN5,2,832.228,0,0,5
2A12-SN5,2,791.131,0,0,4
3A5-SN5,3,1176.705,0,0,7
4A1-SN5,4,1518.178,0,0,8
4A2-SN5,4,1454.046,0,0,6
4A4-SN5,4,1466.054,0,0,6
5A1-SN5,5,1778.533,0,0,8
5A4-SN5,5,1793.548,0,0,9
6A1-SN5,6,2166.079,0,0,11
2H2-SN5,2,816.225,0,0,3
2H3-SN5,2,844.279,0,0,3
2H4-SN5,2,872.333,0,0,3
2A1-SN6,2,815.197,0,0,4
2A3-SN6,2,815.197,0,0,4
2A9-SN6,2,775.132,0,0,4
2A11-SN6,2,860.282,0,0,5
2A12-SN6,2,819.185,0,0,4
3A5-SN6,3,1218.786,0,0,7
4A2-SN6,4,1510.154,0,0,6
4A3-SN6,4,1519.206,0,0,7
5A4-SN6,5,1863.683,0,0,9
6A1-SN6,6,2250.241,0,0,11
6A2-SN6,6,2249.253,0,0,10
2H2-SN6,2,844.279,0,0,3
2H5-SN6,2,928.441,0,0,3
5A1-SN7,5,1858.748,0,0,8
5A2-SN7,5,1916.832,0,0,10
5A4-SN7,5,1873.763,0,0,9
6A1-SN7,6,2262.337,0,0,11
6A2-SN7,6,2261.349,0,0,10
2A3-SN8,2,875.337,0,0,4
4A3-SN8,4,1639.486,0,0,7
4A4-SN8,4,1642.442,0,0,6
5A2-SN8,5,2057.102,0,0,10
1A1-SN9,1,516.705,0,0,3
1A2-SN9,1,573.801,0,0,4
2A3-SN9,2,961.299,0,0,4
2A10-SN9,2,949.288,0,0,4
2A11-SN9,2,1006.384,0,0,5
4A2-SN9,4,1802.358,0,0,6
4A4-SN9,4,1814.366,0,0,6
5A3-SN9,5,2271.019,0,0,9
5A4-SN9,5,2228.938,0,0,9
6A1-SN9,6,2688.547,0,0,11
6A2-SN9,6,2687.559,0,0,10
2H4-SN9,2,1046.489,0,0,3
