Lipid_name,Num_tails,Num_carbon_in_tail,MolWt
23A3-P14,3,14,1161.5599999999995
23A3-P15,3,15,1203.6409999999996
23A3-P16,3,16,1245.7219999999998
24A3-P4,3,4,686.6580000000002
24A3-P5,3,5,728.739
24A3-P6,3,6,770.8199999999998
24A3-P7,3,7,812.9009999999996
24A3-P8,3,8,854.9819999999994
24A3-P9,3,9,897.0629999999992
24A3-P10,3,10,939.1439999999992
24A3-P11,3,11,981.224999999999
24A3-P12,3,12,1023.3059999999988
24A3-P13,3,13,1065.386999999999
24A3-P14,3,14,1107.4679999999992
24A3-P15,3,15,1149.5489999999993
24A3-P16,3,16,1191.6299999999994
25A3-P4,3,4,728.739
25A3-P5,3,5,770.8199999999998
25A3-P6,3,6,812.9009999999996
25A3-P7,3,7,854.9819999999996
25A3-P8,3,8,897.0629999999995
25A3-P9,3,9,939.1439999999992
25A3-P10,3,10,981.2249999999992
25A3-P11,3,11,1023.3059999999992
