Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Lipid/Cells,mRNA/Cells
Liu_iphos,25,30,30,1,MDOA,14.88918374,74.4459187,5.0
Liu_iphos,25,30,30,1,MDOA,15.38696021,76.93480105,5.0
Liu_iphos,25,30,30,1,MDOA,15.88473668,79.4236834,5.0
Liu_iphos,25,30,30,1,MDOA,8.951637014,44.75818507,5.0
Liu_iphos,25,30,30,1,MDOA,9.449413484,47.24706742000001,5.0
Liu_iphos,25,30,30,1,MDOA,9.947189954,49.735949770000005,5.0
Liu_iphos,25,30,30,1,MDOA,10.44496642,52.2248321,5.0
Liu_iphos,25,30,30,1,MDOA,10.94274289,54.71371445,5.0
Liu_iphos,25,30,30,1,MDOA,11.44051936,57.202596799999995,5.0
Liu_iphos,25,30,30,1,MDOA,11.93829584,59.6914792,5.0
Liu_iphos,25,30,30,1,MDOA,12.43607231,62.18036155,5.0
Liu_iphos,25,30,30,1,MDOA,12.93384878,64.6692439,5.0
Liu_iphos,25,30,30,1,MDOA,13.43162525,67.15812625,5.0
Liu_iphos,25,30,30,1,MDOA,13.92940172,69.64700859999999,5.0
Liu_iphos,25,30,30,1,MDOA,14.42717819,72.13589095,5.0
Liu_iphos,25,30,30,1,MDOA,14.92495466,74.6247733,5.0
Liu_iphos,25,30,30,1,MDOA,9.947189954,49.735949770000005,5.0
Liu_iphos,25,30,30,1,MDOA,10.44496642,52.2248321,5.0
Liu_iphos,25,30,30,1,MDOA,10.94274289,54.71371445,5.0
Liu_iphos,25,30,30,1,MDOA,11.44051936,57.202596799999995,5.0
Liu_iphos,25,30,30,1,MDOA,11.93829584,59.6914792,5.0
Liu_iphos,25,30,30,1,MDOA,12.43607231,62.18036155,5.0
Liu_iphos,25,30,30,1,MDOA,12.93384878,64.6692439,5.0
Liu_iphos,25,30,30,1,MDOA,13.43162525,67.15812625,5.0
Liu_iphos,25,30,30,1,MDOA,13.92940172,69.64700859999999,5.0
Liu_iphos,25,30,30,1,MDOA,14.42717819,72.13589095,5.0
Liu_iphos,25,30,30,1,MDOA,14.92495466,74.6247733,5.0
Liu_iphos,25,30,30,1,MDOA,15.42273113,77.11365565,5.0
Liu_iphos,25,30,30,1,MDOA,15.9205076,79.60253800000001,5.0
Liu_iphos,25,30,30,1,MDOA,9.698301719,48.491508595,5.0
Liu_iphos,25,30,30,1,MDOA,10.19607819,50.98039095,5.0
Liu_iphos,25,30,30,1,MDOA,10.69385466,53.4692733,5.0
Liu_iphos,25,30,30,1,MDOA,11.19163113,55.958155649999995,5.0
Liu_iphos,25,30,30,1,MDOA,11.6894076,58.44703799999999,5.0
Liu_iphos,25,30,30,1,MDOA,12.18718407,60.93592035,5.0
Liu_iphos,25,30,30,1,MDOA,12.68496054,63.4248027,5.0
Liu_iphos,25,30,30,1,MDOA,13.18273701,65.91368505,5.0
Liu_iphos,25,30,30,1,MDOA,13.68051348,68.4025674,5.0
Liu_iphos,25,30,30,1,MDOA,14.17828995,70.89144974999999,5.0
Liu_iphos,25,30,30,1,MDOA,14.67606642,73.3803321,5.0
Liu_iphos,25,30,30,1,MDOA,15.17384289,75.86921445,5.0
Liu_iphos,25,30,30,1,MDOA,15.67161936,78.3580968,5.0
Liu_iphos,25,30,30,1,MDOA,8.951637014,44.75818507,5.0
Liu_iphos,25,30,30,1,MDOA,9.449413484,47.24706742000001,5.0
Liu_iphos,25,30,30,1,MDOA,9.947189954,49.735949770000005,5.0
Liu_iphos,25,30,30,1,MDOA,10.44496642,52.2248321,5.0
Liu_iphos,25,30,30,1,MDOA,10.94274289,54.71371445,5.0
Liu_iphos,25,30,30,1,MDOA,11.44051936,57.202596799999995,5.0
Liu_iphos,25,30,30,1,MDOA,11.93829584,59.6914792,5.0
Liu_iphos,25,30,30,1,MDOA,12.43607231,62.18036155,5.0
Liu_iphos,25,30,30,1,MDOA,12.93384878,64.6692439,5.0
Liu_iphos,25,30,30,1,MDOA,13.43162525,67.15812625,5.0
