lipid_id,smiles,score_mean,score_std,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,num_protonatable_nitrogens,num_unsaturated_cc_bonds,Num_carbon_in_tail
Pr2A-K-S-s2(9/9),CCCCCCCCCC(CCCCCCCCC)C(=O)NC(CO)C(=O)NCCCCC(NC(=O)C(CO)NC(=O)C(CCCCCCCCC)CCCCCCCCC)C(=O)NCCCN,6.5059083781362,9.325430344568296,6.873685437284414,6.0,50.0,9.972100000000001,0.9090909090909091,211.98,8.0,8.0,68.0,964.8279497959999,280.9254999999993,1.0,0.0,19.0
Et2A-HRK-n-s2(5/8),CCCCCCCCC(CCCCC)C(=O)NCCCCC(NC(=O)C(CCCCC)CCCCCCCC)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCN,6.504732302867383,7.223529702229458,6.836669504615343,11.0,43.0,6.9254700000000105,0.82,262.1,10.0,8.0,66.0,929.7517651399999,267.4093999999992,3.0,0.0,14.0
BuOHA-KSK-V-s1(18),CCCCCCCCCCCCCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCCCCCCCCCCCCC)C(C)C)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NCCCCO)C(C)C,6.503864247311827,6.8758114009882725,7.060278921616236,8.0,58.0,10.541900000000004,0.8923076923076924,270.18,10.0,10.0,82.0,1162.964777612,334.60290000000026,1.0,0.0,18.0
Et2A-HKK-H-u(aLin),CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)NC(Cc1c[nH]cn1)C(=O)NCCCCC(NC(=O)C(Cc1c[nH]cn1)NC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)C(=O)NC(CCCCN)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCN,6.5019041218638,6.620677852711446,7.130673204844839,15.0,53.0,7.977200000000011,0.5882352941176471,341.7799999999999,12.0,12.0,90.0,1247.863440828,356.8868000000008,5.0,6.0,18.0
Bu2A-RHK-n-s1(16),CCCCCCCCCCCCCCCC(=O)NCCCCC(NC(=O)CCCCCCCCCCCCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CCCNC(=N)N)C(=O)NCCCCN,6.500616039426523,8.868036396302253,6.895166370141723,11.0,49.0,8.774070000000009,0.8333333333333334,262.1,10.0,8.0,70.0,985.8143653959999,286.0173999999993,3.0,0.0,16.0
PrOHA-SHSK-n-s1(12),CCCCCCCCCCCC(=O)NCCCCC(NC(=O)CCCCCCCCCCC)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CO)C(=O)NCCCO,6.500448028673835,6.026220617479872,6.780146882163549,8.0,40.0,3.5029000000000097,0.8,263.96999999999997,10.0,10.0,62.0,878.6204762039999,239.4472999999992,1.0,0.0,12.0
PrOHA-HRK-n-s2(8/9),CCCCCCCCCC(CCCCCCCC)C(=O)NCCCCC(NC(=O)C(CCCCCCCC)CCCCCCCCC)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCO,6.49974798387097,7.381899268866205,6.9647110611825696,10.0,52.0,10.469970000000002,0.847457627118644,256.31,10.0,8.0,75.0,1056.8766313039998,306.99379999999974,2.0,0.0,18.0
BuOHA-SHK-S-u(Ste),CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)NC(CO)C(=O)NCCCCC(NC(=O)C(CO)NC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CO)C(=O)NCCCCO,6.498935931899642,9.21112027963956,7.033064587723992,9.0,48.0,5.259300000000011,0.5737704918032787,313.29999999999995,12.0,12.0,81.0,1131.730754924,317.73280000000017,1.0,8.0,18.0
PrOHA-KSK-n-s2(6/9),CCCCCCCCCC(CCCCCC)C(=O)NCCCCC(NC(=O)C(CCCCCC)CCCCCCCCC)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NCCCO,6.494567652329749,11.519042328177845,6.829169759094593,6.0,47.0,8.801800000000007,0.9038461538461539,211.98000000000002,8.0,8.0,65.0,922.780999604,267.074499999999,1.0,0.0,16.0
BuOHA-SKK-n-s2(5/10),CCCCCCCCCCC(CCCCC)C(=O)NCCCCC(NC(=O)C(CCCCC)CCCCCCCCCC)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)NCCCCO,6.492131496415771,12.350097218848536,6.844229578102258,6.0,48.0,9.191900000000002,0.9056603773584906,211.98,8.0,8.0,66.0,936.796649668,271.69149999999917,1.0,0.0,16.0
Et2A-KHK-n-s1(9),CCCCCCCCC(=O)NCCCCC(NC(=O)CCCCCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CCCCN)C(=O)NCCN,6.489303315412187,7.278136518625987,6.59993036136664,9.0,33.0,3.398200000000007,0.7894736842105263,226.22000000000003,8.0,8.0,52.0,733.557816372,205.89999999999938,3.0,0.0,9.0
