IL_SMILES,Experiment_value,rel,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,num_permanent_cationic_N,formal_net_charge,Dose_ug_nucleicacid,Sample_weight
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.939568369,1,63.21002701,9.162342568,23.03782299,4.589807432,15.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,1.313171483,1,38.10980051,9.54084324,47.59708738,4.752268869,15.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,1.39704157,2,47.35807046,28.18083697,23.52925471,0.931837868,5.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,2.23574244,3,42.25059351,9.482373318,47.33333078,0.933702391,15.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,1.046312116,1,42.20166158,9.441774725,47.40279741,0.95376628,5.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,2.037504053,3,22.24034673,26.04167359,48.61601375,3.101965927,5.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.055120179,1,38.49120419,14.49334963,44.61686692,2.398579265,10.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.230484906,1,42.48572184,8.97863463,47.596745,0.938898528,15.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.02,1.0
CCCCCCCCC(CCCCCC)C(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)C(CCCCCC)CCCCCCCC)CCc1ccncc1)CCCCCC,-1.204789014,0,32.44471011,16.66137976,48.29746391,2.59644622,10.0,7.152319755285309,2,69,23.5855,0.839506173,121.33,0,10,91,1275.10792,385.447,True,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1.0
CCCCCCCCC(CCCCCC)C(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)C(CCCCCC)CCCCCCCC)CCc1ccncc1)CCCCCC,-1.078860772,0,32.42507152,29.08429879,35.88416031,2.606469379,10.0,7.152319755285309,2,69,23.5855,0.839506173,121.33,0,10,91,1275.10792,385.447,True,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCC(CCCCCC)C(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)C(CCCCCC)CCCCCCCC)CCc1ccncc1)CCCCCC,-1.132830019,0,25.00344554,41.74141955,32.17817965,1.076955254,7.5,7.152319755285309,2,69,23.5855,0.839506173,121.33,0,10,91,1275.10792,385.447,True,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
