experiment_1,experiment_2,mean_tanimoto,max_tanimoto
Lin_peptide,AGILE,0.27043432750088053,0.5254237288135594
Lin_peptide,Li_pulmonary,0.22543711673207673,0.5081967213114754
Lin_peptide,Miao_3CR,0.19621498403807106,0.3018867924528302
Lin_peptide,Li_3CR,0.146981514090739,0.2988505747126437
Liu_iphos,AGILE,0.2171404456702466,0.4032258064516129
Liu_iphos,Li_pulmonary,0.19139197213444673,0.4090909090909091
Liu_iphos,Miao_3CR,0.18891870395947358,0.35714285714285715
Liu_iphos,Li_3CR,0.16295424764259137,0.35294117647058826
AGILE,Li_pulmonary,0.3207369381989463,0.5625
AGILE,Miao_3CR,0.2026958651613634,0.4852941176470588
AGILE,Li_3CR,0.27447462181009596,0.5714285714285714
Li_pulmonary,Miao_3CR,0.17071263711981835,0.4084507042253521
Li_pulmonary,Li_3CR,0.2905306992465035,0.5647058823529412
Miao_3CR,Li_3CR,0.19018891403704705,0.9074074074074074
ALL,ALL,0.2174363441370567,0.37738461231953313
